message,tags
"Your OrangeMoney account has been credited with P500. Thank you for using OrangeMoney.",legit
"Your Mascom bill of P120 is due on the 5th. Dial *130# to pay.",legit
"FNBB: Your account balance is P1230.50 as of today. Visit any branch for more info.",legit
"BTC: Your internet data bundle of 2GB has been activated. Enjoy browsing!",legit
"Betway: Your withdrawal of P200 has been processed. Check your MyZaka wallet.",legit
"DSTV: Your subscription has been renewed. Enjoy your favourite shows.",legit
"Absa: Your card ending in 4521 was used for a purchase of P89 at Choppies.",legit
"Stanbic: Your fixed deposit of P10000 has matured. Visit your nearest branch.",legit
"WUC: Your water account is up to date. Next payment due: 01/05/2025.",legit
"BPC: Load shedding scheduled for your area from 10am to 2pm today.",legit
"Yango: Your ride has been completed. Total fare: P35. Thank you for riding with us.",legit
"Hi, your parcel from the post office is ready for collection. Bring your ID.",legit
"Reminder: Your appointment at Princess Marina Hospital is tomorrow at 9am.",legit
"Thank you for shopping at Choppies. Your receipt has been emailed.",legit
"Your BIUST student portal login was successful. Check your results online.",legit
"Congratulations! You have won P50,000 in the Mascom Lucky Draw. Click bit.ly/claim-now to collect your prize immediately!","prize_bait,phishing_link,impersonation,urgency"
"URGENT: Your OrangeMoney account is suspended. Verify your details at secure-login-orange.com within 24 hours or lose your funds.","urgency,phishing_link,impersonation,credential_harvest"
"Dear customer, your BTC account has been compromised. Click bit.ly/btc-verify to reset your password now!","phishing_link,impersonation,urgency,credential_harvest"
"You have won a brand new Samsung phone in our annual draw. Reply with your full name and omang number to claim.","prize_bait,credential_harvest"
"ALERT: Suspicious login on your FNBB account. Verify at customerportal-fnbb.bw.net immediately.","urgency,phishing_link,impersonation,credential_harvest"
"Send P200 madi jaanong to this number 71234567 and receive P2000 back guaranteed. Limited time!","fake_investment,urgency,setswana_bait"
"Your account has been selected for a relief-fund-bw.net government stimulus of P5000. Click to register now.","phishing_link,prize_bait,urgency"
"Hiring now! Earn P800 per day working from home. No experience needed. WhatsApp 77123456 to start today.","fake_job"
"Invest P500 madi and get P5000 within 7 days. 100% guaranteed returns. Join our mosebo opportunity now.","fake_investment,setswana_bait"
"ABSA BANK: Your debit card has been blocked. Please call 0800-ABSA or visit account-suspended-absa.com","urgency,impersonation,phishing_link,credential_harvest"
"Dear valued customer, akhaonto ya gago e na le bothata. Tlhagisa omang ya gago go 71999888 now.","credential_harvest,setswana_bait,urgency"
"You are owed P12,000 tax refund. Provide your bank details at gov-payments-bw.net to receive it.","phishing_link,credential_harvest,impersonation"
"Congratulations! Your number was selected. Claim your P10,000 prize at tinyurl.com/bw-prize before it expires!","prize_bait,phishing_link,urgency"
"FREE MONEY: Send your akhaonto details to receive P3000 from our mobile promotion. Act jaanong!","credential_harvest,setswana_bait,urgency"
"Warning: Your mobile banking PIN has been entered incorrectly 3 times. Click goo.gl/reset-pin to unlock.","urgency,phishing_link,credential_harvest,impersonation"
"We are looking for agents to distribute goods in your area. Earn P2000/week. No experience. Call 75001122.","fake_job"
"URGENT: Your SIM card will be deactivated in 24 hours. Visit verify-now.bw.net to verify your identity.","urgency,phishing_link,credential_harvest"
"Investment opportunity! Double your madi in 30 days with our crypto trading bot. Min P1000. WhatsApp 76543210.","fake_investment,setswana_bait"
"You have been selected for a scholarship. Send P300 registration fee to 71112233 to secure your slot.","fake_job,urgency"
"Dear Mascom user, your line will be disconnected. Confirm your details at mascom-verify.com immediately.","impersonation,phishing_link,urgency,credential_harvest"
"Romela P100 and amogela P1000 in 24 hours. Guaranteed. This offer expires jaanong. Contact 77889900.","fake_investment,setswana_bait,urgency"
"Win big at our casino! Get P500 free credit. Visit bit.ly/bw-casino and register with your bank details.","prize_bait,phishing_link,credential_harvest"
"GOVERNMENT NOTICE: You qualify for a COVID relief payment of P2500. Register at relief-fund-bw.net today.","impersonation,phishing_link,credential_harvest"
"Your OrangeMoney PIN has expired. Update it at orange-secure-login.com or your account will be blocked.","impersonation,phishing_link,urgency,credential_harvest"
"Job vacancy: Office cleaner needed urgently in Gaborone. Salary P3500/month. Send omang copy to 75667788.","fake_job,credential_harvest"
"Earn P1500 daily from home by simply liking posts on Facebook. Register at tinyurl.com/earn-bw today!","fake_job,phishing_link"
"STANBIC BANK ALERT: Your account will be closed. Verify at stanbic-verify.com within 12 hours.","impersonation,phishing_link,urgency,credential_harvest"
"Your number won P25,000 in the DSTV subscriber draw. Claim now at ow.ly/dstv-prize. Offer expires today!","prize_bait,phishing_link,impersonation,urgency"
"We are hiring data capturers. Work from home. Earn P800/day. No experience needed. Whatsapp 77000111.","fake_job"
"Exclusive investment: Put in P2000 madi and receive P20,000 within a week. Proven system. Text 76123456.","fake_investment,setswana_bait"
"FNBB: Verify your online banking details at fnbb-customerportal.bw.net to avoid account suspension.","impersonation,phishing_link,urgency,credential_harvest"
"Your BIUST bursary application has been approved. Pay P500 admin fee to 71234567 to receive your funds.","fake_job,urgency,credential_harvest"
"ALERT: Someone tried to access your Absa account. Secure it now at absa-secure-login.com.","urgency,phishing_link,impersonation,credential_harvest"
"Madi a gago a P5000 a go lebeletswe. Bua le rona go amogela. Tlhagisa omang le akhaonto ya gago jaanong.","credential_harvest,setswana_bait,urgency"
"Click bit.ly/verify-account to confirm your mobile number or your account will be suspended today.","phishing_link,urgency,credential_harvest"
